,n_loans,loan_amount,med_income,n_restaurants,tot_pop,pct_white_alone,pct_black,pct_amind,pct_asian,pct_hispanic,state,aland10,zip,pct_with_loan
391,8,353293.5,63671.0,16,22060.0,91.1,4.0,0.0,0.2,2.7,MI,152756402,48473,0.5
392,20,1083462.79,53707.0,36,19582.0,97.0,0.9,0.2,0.2,1.1,KY,515824507,42025,0.5555555555555556
394,1,4945.0,50433.0,3,2742.0,90.0,0.0,0.7,0.6,8.0,OH,172344988,43521,0.3333333333333333
395,3,95125.0,70662.0,6,3291.0,92.6,0.1,0.1,1.5,4.7,OH,82008195,43522,0.5
399,1,56000.0,41667.0,3,4912.0,51.9,16.0,0.1,0.5,28.9,TX,625456739,75939,0.3333333333333333
404,8,288366.15,40508.0,19,18690.0,84.1,4.8,0.1,0.1,8.8,OH,308449036,44830,0.42105263157894735
405,7,201426.91,41744.0,26,16558.0,96.4,0.8,0.1,0.1,1.8,OH,235968600,44833,0.2692307692307692
411,16,2388428.62,63178.0,14,20610.0,80.0,7.2,0.9,5.1,5.1,KY,183610448,42103,1.1428571428571428
412,3,118620.0,46703.0,10,6263.0,96.6,0.9,0.5,0.1,1.3,MI,246370062,48622,0.3
413,9,1657687.5,80032.0,13,13589.0,90.3,4.2,0.4,0.9,2.6,MI,191253738,48623,0.6923076923076923
414,44,11842268.479999999,58323.0,90,33415.0,86.0,5.4,0.2,4.0,2.4,KY,145376470,42104,0.4888888888888889
416,1,17367.5,80896.0,3,5337.0,95.4,2.1,0.0,0.4,0.9,KY,97754760,42122,0.3333333333333333
418,2,40420.0,53194.0,4,4408.0,96.4,0.2,0.0,0.0,1.7,OH,175202837,44837,0.5
419,7,352605.0,31087.0,29,27361.0,25.9,66.4,1.0,0.1,3.6,MI,40055000,48504,0.2413793103448276
420,5,243738.43,49375.0,12,5313.0,89.8,5.1,0.5,0.0,3.6,KY,226722437,42038,0.4166666666666667
422,1,87500.0,25931.0,6,20696.0,12.4,79.2,0.2,0.1,3.5,MI,32526716,48505,0.16666666666666666
425,1,29500.0,38919.0,5,5885.0,66.7,31.3,0.0,0.0,1.9,GA,458070900,30457,0.2
426,63,4970977.75,34415.0,115,43597.0,56.1,33.8,0.5,1.8,4.8,GA,380714871,30458,0.5478260869565217
429,11,387007.5,44732.0,29,14192.0,95.4,0.3,0.1,0.2,2.7,OH,263293742,43506,0.3793103448275862
433,4,84300.0,58185.0,12,5890.0,95.9,0.1,0.4,0.0,2.5,OH,201124430,43526,0.3333333333333333
435,7,320886.0,43161.0,24,17356.0,54.8,6.1,5.4,3.9,28.4,IA,27311421,51103,0.2916666666666667
437,32,4166735.09,56546.0,56,27951.0,83.8,2.3,0.4,0.5,12.1,OH,566492403,43512,0.5714285714285714
438,5,247331.0,62778.0,7,8582.0,94.8,0.4,1.0,0.0,3.1,OH,211470199,43515,0.7142857142857143
439,2,13452.0,53114.0,4,2742.0,91.0,0.9,0.3,0.3,6.3,OH,182219710,43516,0.5
440,15,1091907.0,76717.0,41,15919.0,74.2,12.9,0.3,3.3,5.1,OH,48152886,43528,0.36585365853658536
453,24,1514670.02,41427.0,45,19211.0,58.5,1.7,1.5,1.5,34.8,OR,662715735,97914,0.5333333333333333
454,2,92600.0,43158.0,9,4141.0,81.6,0.0,0.4,1.5,16.4,OR,1111696055,97918,0.2222222222222222
457,9,374065.0,34031.0,34,32119.0,24.1,5.9,4.4,0.7,62.0,OK,15729207,73119,0.2647058823529412
461,34,2934284.9699999997,52112.0,81,35771.0,59.3,23.0,2.4,1.6,7.2,OK,28680161,73120,0.41975308641975306
463,9,309882.08999999997,63592.0,27,22924.0,68.9,5.0,1.5,5.3,17.4,IA,20115716,51104,0.3333333333333333
464,12,718828.5,46193.0,25,12789.0,54.5,13.2,2.8,3.1,24.2,OK,8577806,73122,0.48
465,9,377005.0,35627.0,39,25134.0,42.1,16.0,3.2,2.9,30.3,OK,31427764,73127,0.23076923076923078
466,10,673673.0,76469.0,33,4757.0,66.8,0.0,1.2,13.5,12.7,OK,17130585,73128,0.30303030303030304
467,4,249400.0,31343.0,22,19764.0,28.6,12.6,5.2,0.1,52.7,OK,32593586,73129,0.18181818181818182
468,13,497739.88999999996,37822.0,22,13894.0,90.9,0.4,0.6,1.1,4.0,AR,1655523949,71953,0.5909090909090909
469,8,588787.5,61271.0,33,20604.0,67.0,15.3,4.4,1.5,7.6,OK,25814857,73130,0.24242424242424243
471,1,116400.0,49725.0,5,2371.0,94.5,0.1,1.9,0.5,2.4,OH,89240914,43554,0.2
472,3,231926.71,40171.0,11,9820.0,45.2,8.4,3.8,4.3,37.2,IA,15751180,51105,0.2727272727272727
473,3,196100.0,75266.0,6,3823.0,72.1,10.0,3.4,4.2,4.8,OK,31137541,73131,0.5
475,24,2467960.7800000003,53720.0,61,28199.0,54.2,21.0,2.5,7.5,10.7,OK,19334677,73132,0.39344262295081966
477,72,15370779.0,53995.0,89,5573.0,61.5,15.5,2.2,7.2,3.7,OK,10761066,73134,0.8089887640449438
478,5,241419.25,42399.0,8,3109.0,93.4,0.6,3.0,1.6,2.8,AR,362416886,71957,0.625
479,3,41370.0,56340.0,10,22790.0,49.2,31.4,1.9,4.7,6.5,OK,30046354,73135,0.3
480,21,1943877.77,64810.0,32,4306.0,80.8,0.9,0.6,0.8,7.4,MA,69445842,02539,0.65625
481,16,1294280.0,42509.0,60,17563.0,55.0,7.8,5.4,1.7,26.9,OK,11334529,73139,0.26666666666666666
482,3,131789.97,36317.0,5,2459.0,84.5,7.7,0.0,0.2,5.6,AR,278736105,71958,0.6
483,3,87800.0,40293.0,11,2600.0,58.3,17.4,2.2,0.5,15.7,OK,27835435,73141,0.2727272727272727
485,17,3301573.0,75516.0,40,14302.0,68.1,11.7,2.0,7.7,5.3,OK,25326939,73142,0.425
